folder,piece,location,total_natural,stones,weeds,twigs,grass,trees,bushes,clumps,clump_tiles,extent_w,extent_h,area_tiles,min_x,max_x,min_y,max_y,clump_breakdown
16IslE,IslE14,IslandEast,14,0,0,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE15,IslandEast,14,0,0,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE16,IslandEast,15,0,1,0,0,0,14,0,0,18,17,306,11,28,28,44,
16IslE,IslE17,IslandEast,14,0,0,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE18,IslandEast,15,0,1,0,0,0,14,0,0,18,18,324,11,28,26,43,
16IslE,IslE19,IslandEast,15,0,1,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE20,IslandEast,15,0,1,0,0,0,14,0,0,18,17,306,11,28,28,44,
16IslE,IslE21,IslandEast,14,0,0,0,0,0,14,0,0,18,16,288,11,28,28,43,
17IslW,IslW01,IslandWest,340,62,110,51,0,27,73,17,68,90,83,7470,15,104,3,85,stonex9; twigx3; weedx5
17IslW,IslW02,IslandWest,340,62,110,51,0,27,73,17,68,90,80,7200,15,104,3,82,stonex9; twigx3; weedx5
17IslW,IslW03,IslandWest,340,62,110,51,0,27,73,17,68,90,83,7470,15,104,3,85,stonex9; twigx3; weedx5
17IslW,IslW04,IslandWest,340,62,110,51,0,27,73,17,68,90,82,7380,15,104,3,84,stonex9; twigx3; weedx5
17IslW,IslW05,IslandWest,340,62,110,51,0,27,73,17,68,90,80,7200,15,104,3,82,stonex9; twigx3; weedx5
17IslW,IslW06,IslandWest,340,62,110,51,0,27,73,17,68,90,83,7470,15,104,3,85,stonex9; twigx3; weedx5
17IslW,IslW07,IslandWest,340,62,110,51,0,27,73,17,68,90,83,7470,15,104,3,85,stonex9; twigx3; weedx5
17IslW,IslW08,IslandWest,344,66,110,51,0,27,73,17,68,90,84,7560,15,104,3,86,stonex9; twigx3; weedx5
17IslW,IslW09,IslandWest,340,62,110,51,0,27,73,17,68,90,80,7200,15,104,3,82,stonex9; twigx3; weedx5
17IslW,IslW10,IslandWest,340,62,110,51,0,27,73,17,68,90,83,7470,15,104,3,85,stonex9; twigx3; weedx5
17IslW,IslW11,IslandWest,340,62,110,51,0,27,73,17,68,90,82,7380,15,104,3,84,stonex9; twigx3; weedx5
17IslW,IslW12,IslandWest,340,62,110,51,0,27,73,17,68,90,82,7380,15,104,3,84,stonex9; twigx3; weedx5
17IslW,IslW13,IslandWest,340,62,110,51,0,27,73,17,68,90,83,7470,15,104,3,85,stonex9; twigx3; weedx5
17IslW,IslW14,IslandWest,340,62,110,51,0,27,73,17,68,90,82,7380,15,104,3,84,stonex9; twigx3; weedx5
17IslW,IslW15,IslandWest,340,62,110,51,0,27,73,17,68,90,82,7380,15,104,3,84,stonex9; twigx3; weedx5
17IslW,IslW16,IslandWest,340,62,110,51,0,27,73,17,68,90,82,7380,15,104,3,84,stonex9; twigx3; weedx5
17IslW,IslW17,IslandWest,340,62,110,51,0,27,73,17,68,90,84,7560,15,104,3,86,stonex9; twigx3; weedx5
17IslW,IslW18,IslandWest,340,62,110,51,0,27,73,17,68,90,81,7290,15,104,3,83,stonex9; twigx3; weedx5
17IslW,IslW19,IslandWest,340,62,110,51,0,27,73,17,68,90,83,7470,15,104,3,85,stonex9; twigx3; weedx5
17IslW,IslW20,IslandWest,340,62,110,51,0,27,73,17,68,90,82,7380,15,104,3,84,stonex9; twigx3; weedx5
17IslW,IslW21,IslandWest,340,62,110,51,0,27,73,17,68,90,83,7470,15,104,3,85,stonex9; twigx3; weedx5
18IslN,IslN01,IslandNorth,57,17,0,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN02,IslandNorth,56,14,2,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN03,IslandNorth,48,5,3,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN04,IslandNorth,54,12,2,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN05,IslandNorth,53,13,0,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN06,IslandNorth,54,13,1,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN07,IslandNorth,51,10,1,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN08,IslandNorth,75,31,3,0,0,11,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN09,IslandNorth,54,14,0,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN10,IslandNorth,55,13,1,0,0,11,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN11,IslandNorth,55,14,1,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN12,IslandNorth,50,9,0,0,0,11,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN13,IslandNorth,58,17,0,0,0,11,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN14,IslandNorth,51,10,1,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN15,IslandNorth,57,16,1,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN16,IslandNorth,50,7,3,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN17,IslandNorth,56,13,2,0,0,11,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN18,IslandNorth,56,12,4,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN19,IslandNorth,47,7,0,0,0,10,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN20,IslandNorth,53,12,0,0,0,11,30,0,0,62,67,4154,0,61,18,84,
18IslN,IslN21,IslandNorth,47,5,2,0,0,10,30,0,0,62,67,4154,0,61,18,84,
19IslL,IslL01,IslandNorthCave1,0,0,0,0,0,0,0,0,0,4,4,16,4,7,5,8,
19IslL,IslL02,IslandNorthCave1,0,0,0,0,0,0,0,0,0,2,2,4,7,8,8,9,
19IslL,IslL03,IslandNorthCave1,0,0,0,0,0,0,0,0,0,3,2,6,4,6,7,8,
19IslL,IslL04,IslandNorthCave1,0,0,0,0,0,0,0,0,0,3,6,18,5,7,5,10,
19IslL,IslL05,IslandNorthCave1,0,0,0,0,0,0,0,0,0,3,7,21,4,6,4,10,
19IslL,IslL06,IslandNorthCave1,0,0,0,0,0,0,0,0,0,5,4,20,4,8,6,9,
19IslL,IslL07,IslandNorthCave1,0,0,0,0,0,0,0,0,0,4,5,20,5,8,5,9,
19IslL,IslL08,IslandNorthCave1,0,0,0,0,0,0,0,0,0,4,4,16,4,7,5,8,
19IslL,IslL09,IslandNorthCave1,0,0,0,0,0,0,0,0,0,6,5,30,2,7,5,9,
19IslL,IslL10,IslandNorthCave1,0,0,0,0,0,0,0,0,0,2,5,10,4,5,4,8,
19IslL,IslL11,IslandNorthCave1,0,0,0,0,0,0,0,0,0,4,6,24,4,7,4,9,
19IslL,IslL12,IslandNorthCave1,0,0,0,0,0,0,0,0,0,4,4,16,5,8,5,8,
19IslL,IslL13,IslandNorthCave1,0,0,0,0,0,0,0,0,0,4,5,20,4,7,5,9,
19IslL,IslL14,IslandNorthCave1,0,0,0,0,0,0,0,0,0,5,5,25,2,6,5,9,
19IslL,IslL15,IslandNorthCave1,0,0,0,0,0,0,0,0,0,3,3,9,6,8,6,8,
19IslL,IslL16,IslandNorthCave1,0,0,0,0,0,0,0,0,0,4,2,8,5,8,8,9,
19IslL,IslL17,IslandNorthCave1,,,,,,,,,,,,,,,,
19IslL,IslL18,IslandNorthCave1,0,0,0,0,0,0,0,0,0,3,2,6,5,7,7,8,
19IslL,IslL19,IslandNorthCave1,0,0,0,0,0,0,0,0,0,3,2,6,4,6,6,7,
19IslL,IslL20,IslandNorthCave1,0,0,0,0,0,0,0,0,0,5,5,25,4,8,5,9,
19IslL,IslL21,IslandNorthCave1,0,0,0,0,0,0,0,0,0,3,2,6,5,7,7,8,
20IslL,IslL01,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL02,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL03,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL04,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL05,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL06,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL07,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL08,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL09,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL10,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL11,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL12,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL13,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL14,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL15,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL16,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL17,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL18,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL19,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL20,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
20IslL,IslL21,CaptainRoom,1,0,0,0,0,0,1,0,0,1,1,1,2,2,4,4,
21IslSh,IslSh01,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh02,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh03,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh04,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh05,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh06,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh07,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh08,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh09,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh10,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh11,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh12,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh13,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh14,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh15,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh16,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh17,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh18,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh19,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh20,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
21IslSh,IslSh21,IslandShrine,1,0,0,0,0,0,1,0,0,7,10,70,21,27,25,34,
22Caldera,Caldera,Caldera,2,0,0,0,0,0,2,0,0,20,3,60,9,28,34,36,
23DesertF,DesertFe01,DesertFestival,4,0,0,0,0,4,0,0,0,22,39,858,18,39,22,60,
23DesertF,DesertFe02,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe03,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe04,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe05,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe06,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe07,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe08,DesertFestival,4,0,0,0,0,4,0,0,0,39,40,1560,8,46,21,60,
23DesertF,DesertFe09,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe10,DesertFestival,4,0,0,0,0,4,0,0,0,26,39,1014,15,40,22,60,
23DesertF,DesertFe11,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe12,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe13,DesertFestival,4,0,0,0,0,4,0,0,0,31,53,1643,7,37,8,60,
23DesertF,DesertFe14,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe15,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe16,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe17,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe18,DesertFestival,4,0,0,0,0,4,0,0,0,34,50,1700,4,37,11,60,
23DesertF,DesertFe19,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe20,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
23DesertF,DesertFe21,DesertFestival,4,0,0,0,0,4,0,0,0,20,39,780,18,37,22,60,
